company_name,trade,ownership_type,ownership_confidence,parent_company_or_notes,city,county,zip,address,phone,website,google_rating,google_reviews,maps_services,license_types,license_type_labels,license_numbers,active_license_count,qualifying_agents_or_licensees,latest_expiration_seen,enrichment_source,data_source
FLORIDA COOL LLC,HVAC,Corporate (PE),Confirmed,Wrench Group (Leonard Green & Partners) — Florida Cool / CoolToday,Lauderhill,Broward,33319,"7440 Nw 36Th Street, Lauderhill, FL, 33319",,,,,,CAC,Certified Air Conditioning Contractor,CAC1824283,1,"SYNCLAIR, CARL",08/31/2028,,FL DBPR Construction License Extract (Current + Active)
BEST HOME SERVICES,Plumbing + HVAC,Corporate (PE),Confirmed,Apex Service Partners (Alpine Investors),Naples,Collier,34110,"1455 Rail Head Blvd 1, Naples, FL, 34110",(239) 471-4329,getbest.com/service-area/fort-myers,4.7,7029,"Plumber, Air conditioning repair service, Air duct cleaning service, Drainage service, Electrical installation service, Electrician, Electric generator shop, HVAC contractor","CAC, CFC",Certified Air Conditioning Contractor; Certified Plumbing Contractor,CAC1821291; CFC1429496,2,"WHITE, JERALD P",08/31/2028,data/companies.json (Google Maps scrape),FL DBPR Construction License Extract (Current + Active)
"PROFESSIONAL AMERICAN RESIDENTIAL SERVICES, INC.",Plumbing,Corporate (PE),Confirmed,ARS / Rescue Rooter (GI Partners + Charlesbank),Palm Coast,Flagler,32137,"135 Brunswick Ln, Palm Coast, FL, 32137",,,,,,CFC,Certified Plumbing Contractor,CFC1430435,1,"PINHEIRO, PAUL HILARIO",08/31/2026,,FL DBPR Construction License Extract (Current + Active)
"FRANK GAY SERVICES, LLC",Plumbing + HVAC,Corporate (PE),Confirmed,Apex Service Partners (Alpine Investors),Naples,Orange,34110,"1455 Rail Head Blvd 1, Naples, FL, 34110",,,,,,"CAC, CFC, CMC",Certified Air Conditioning Contractor; Certified Mechanical Contractor; Certified Plumbing Contractor,CAC1818012; CAC1821400; CFC1427594; CFC1430501; CMC1251688,5,"BENNETT, BILLIE NEWMAN; ELVESTER, THOMAS W; GIBBONS, RANDEL DAIL; WHITE, JERALD P",08/31/2028,,FL DBPR Construction License Extract (Current + Active)
"ADMIRAL PLUMBING SERVICES, A SERVICE EXPERTS COMPANY",Plumbing,Corporate (PE),Confirmed,Service Experts (Brookfield / Enercare),Delray Beach,Palm Beach,33445,"3401 Chatelaine Boulevard, Delray Beach, FL, 33445",,,,,,CFC,Certified Plumbing Contractor,CFC1432821,1,"AHEARN, GEORGE E",08/31/2028,,FL DBPR Construction License Extract (Current + Active)
"RED CAP PLUMBING & AIR, LLC",Plumbing + HVAC,Corporate (PE),Confirmed,Wrench Group (Leonard Green & Partners),Lantana,Palm Beach,33462,"311 E Ocean  107, Lantana, FL, 33462",,,,,,"CAC, CFC",Certified Air Conditioning Contractor; Certified Plumbing Contractor,CAC1813344; CFC1425669,2,"FERRANTE GENNARO, JOHN; RICCI, LINDA",08/31/2028,,FL DBPR Construction License Extract (Current + Active)
"SERVICE EXPERTS, LLC",Plumbing + HVAC,Corporate (PE),Confirmed,Service Experts (Brookfield / Enercare),Jupiter,Palm Beach,33469,"1512 Berkshire Avenue, Jupiter, FL, 33469",,,,,,"CAC, CFC",Certified Air Conditioning Contractor; Certified Plumbing Contractor,CAC1820657; CFC056645; CFC1430773,3,"CLOUTIER, PAUL E; POLLAND, RICK ALAN",08/31/2028,,FL DBPR Construction License Extract (Current + Active)
ARS/RESCUE ROOTER,Plumbing + HVAC,Corporate (PE),Confirmed,ARS / Rescue Rooter (GI Partners + Charlesbank),St Petersburg,Pinellas,33716,"3340 Scherer Dr N, St Petersburg, FL, 33716",,,,,,"CAC, CFC, CMC",Certified Air Conditioning Contractor; Certified Mechanical Contractor; Certified Plumbing Contractor,CAC1823985; CFC1428283; CMC1249753,3,"LEWIS, BRANDON MICHAEL; ZACEK, DENNIS JOHN",08/31/2028,,FL DBPR Construction License Extract (Current + Active)
COOL TODAY,HVAC,Corporate (PE),Confirmed,Wrench Group (Leonard Green & Partners),Sarasota,Sarasota,34243,"7260 15Th Street East, Sarasota, FL, 34243",,,,,,CAC,Certified Air Conditioning Contractor,CAC055539; CAC1817564,2,"HAINES, KENNETH; MATTHEWS, JEFFREY TODD",08/31/2028,,FL DBPR Construction License Extract (Current + Active)
FLORIDA COOL TODAY,HVAC,Corporate (PE),Confirmed,Wrench Group (Leonard Green & Partners),Sarasota,Sarasota,34243,"7260 15Th Street East, Sarasota, FL, 34243",,,,,,CAC,Certified Air Conditioning Contractor,CAC1821812,1,"HAINES, KENNETH",08/31/2026,,FL DBPR Construction License Extract (Current + Active)
PLUMBING TODAY,Plumbing,Corporate (PE),Confirmed,Wrench Group (Leonard Green & Partners),Sarasota,Sarasota,34243,"7260 15Th St E, Sarasota, FL, 34243",,,,,,CFC,Certified Plumbing Contractor,CFC1428793,1,"MATTHEWS, JEFFREY TODD",08/31/2028,,FL DBPR Construction License Extract (Current + Active)
AMERICAN RESIDENTIAL SERVICES LLC,Mechanical,Corporate (PE),Confirmed,ARS / Rescue Rooter (GI Partners + Charlesbank),North Charleston,Unknown,29420,"4101 Senegal Ct., North Charleston, SC, 29420",,,,,,CMC,Certified Mechanical Contractor,CMC1249894,1,"STRICKLAND, WILLIAM W. SR.",08/31/2026,,FL DBPR Construction License Extract (Current + Active)
"COMFORT SYSTEMS USA (SYRACUSE), INC.",Plumbing,Corporate (Public),Confirmed,Comfort Systems USA (NYSE: FIX),Flagler Beach,Flagler,32136,"212A  Monitor Dr, Flagler Beach, FL, 32136",,,,,,CFC,Certified Plumbing Contractor,CFC1432888; CFC1433966,2,"BILLONE, JOSEPH FRANK; HOLDEN, RICHARD",08/31/2028,,FL DBPR Construction License Extract (Current + Active)
ROTO ROOTER,Plumbing + HVAC,Corporate (Public),Confirmed,Roto-Rooter / Chemed Corp (NYSE: CHE),Tallahassee,Leon,32315-3133,"P O Box 3133, Tallahassee, FL, 32315-3133",,,,,,"CFC, RM",Certified Plumbing Contractor; Registered Mechanical Contractor,CFC020376; CFC057359; CFC1427084; CFC1427385; CFC1427721; CFC1428928; CFC1430412; CFC1430795; CFCA45995; RM0049014,10,"BARNES, AARON MAURICE; COCCERA, ROLANDO; EBERT, WILLIAM THOMAS JR; ELKINS, MICHAEL JEFFREY; FORD, CHRISTOPHER SHAWN; HAGEN, FREDERICK D; HAGEN, RYAN AUSTIN; HOGSED, MATTHEW SCOTT",08/31/2028,,FL DBPR Construction License Extract (Current + Active)
ROTO-ROOTER SERVICES COMPANY,Plumbing,Corporate (Public),Confirmed,Roto-Rooter / Chemed Corp (NYSE: CHE),Saint Cloud,Osceola,34771,"4879 Grand Vista Lane, Saint Cloud, FL, 34771",,,,,,CFC,Certified Plumbing Contractor,CFC1428009; CFC1429911,2,"BELLOVIN, ROSS MITCHELL; HOGAN, DENNIS M",08/31/2028,,FL DBPR Construction License Extract (Current + Active)
"COMFORT SYSTEMS USA (MID SOUTH), INC.",Mechanical,Corporate (Public),Confirmed,Comfort Systems USA (NYSE: FIX),Birmingham,Out of State,35203,"3100 Richard Arrington Dr Blvd N, Birmingham, AL, 35203",,,,,,CMC,Certified Mechanical Contractor,CMC027331,1,"LAMPKIN, THOMAS D",08/31/2028,,FL DBPR Construction License Extract (Current + Active)
ROTO-ROOTER SEWER & DRAIN,Plumbing,Corporate (Public),Confirmed,Roto-Rooter / Chemed Corp (NYSE: CHE),Raleigh,Out of State,27675,"P.O. Box 90788, Raleigh, NC, 27675",,,,,,CFC,Certified Plumbing Contractor,CFC1430203,1,"DAS, SUBAL",08/31/2028,,FL DBPR Construction License Extract (Current + Active)
COMFORT SYSTEMS USA (SOUTHEAST) INC,Plumbing + HVAC,Corporate (Public),Confirmed,Comfort Systems USA (NYSE: FIX),Pace,Santa Rosa,32571,"9183 Greyrock Landing Rd., Pace, FL, 32571",,,,,,"CAC, CFC, CMC",Certified Air Conditioning Contractor; Certified Mechanical Contractor; Certified Plumbing Contractor,CAC1815916; CFC1428144; CFC1430864; CMC057076; CMC1249398,5,"ANDERSON, KIMBERLEE L; CREIGHTON, ROBERT ALLAN JR; HAUSER, SAMUEL JOSEPH; LOCKETT, RICHARD E",08/31/2028,,FL DBPR Construction License Extract (Current + Active)
ROTO ROOTER OF ST AUGUSTINE,Plumbing,Corporate (Public),Confirmed,Roto-Rooter / Chemed Corp (NYSE: CHE),Saint Augustine,St. Johns,32092,"508  Elis Way, Saint Augustine, FL, 32092",,,,,,"CFC, RF",Certified Plumbing Contractor; Registered Plumbing Contractor,CFC057849; RF11067927,2,"ETTLINGER, JEREMY ISREAL; ETTLINGER, STEVEN",08/31/2028,,FL DBPR Construction License Extract (Current + Active)
ROTO ROOTER PANAMA,Plumbing,Corporate (Public),Confirmed,Roto-Rooter / Chemed Corp (NYSE: CHE),Raleigh,Unknown,27675,"Po Box 90788, Raleigh, NC, 27675",,,,,,CFC,Certified Plumbing Contractor,CFC1432244; CFC1432972,2,"ABSHER, STEVEN JAMES; DAS, SUBAL",08/31/2028,,FL DBPR Construction License Extract (Current + Active)
DAVIS BROTHERS ALACHUA PLUMBING LLC,Plumbing,Family-Owned,Pattern match,Name/marketing indicates family ownership,High Springs,Alachua,32643,"17329 Nw 238Th Terrace, High Springs, FL, 32643",,,,,,CFC,Certified Plumbing Contractor,CFC1429587; CFC1429590,2,"DAVIS, CLAYTON THOMAS; DAVIS, RANDALL W",08/31/2028,,FL DBPR Construction License Extract (Current + Active)
"HOGLE AND SON HEATING AND AIR, LLC",HVAC,Family-Owned,Pattern match,Name/marketing indicates family ownership,Gainesville,Alachua,32606,"3562  Nw 97Th Blvd, Gainesville, FL, 32606",,,,,,CAC,Certified Air Conditioning Contractor,CAC1819132,1,"HOGLE, JACOB D",08/31/2028,,FL DBPR Construction License Extract (Current + Active)
TYRONE AND SONS PLUMBING LLC,Plumbing,Family-Owned,Pattern match,Name/marketing indicates family ownership,Archer,Alachua,32618,"13793 Sw 167Th Terr, Archer, FL, 32618",,,,,,CFC,Certified Plumbing Contractor,CFC1431222,1,"NOBLES, TYRONE LAVARIS",08/31/2028,,FL DBPR Construction License Extract (Current + Active)
FRANK WOOD & SON SERVICES LLC,Plumbing + HVAC,Family-Owned,Pattern match,Name/marketing indicates family ownership,Panama City Beach,Bay,32407,"1815 Turner Wood Lane, Panama City Beach, FL, 32407",,,,,,"CFC, CMC",Certified Mechanical Contractor; Certified Plumbing Contractor,CFC1427496; CMC1250535,2,"WOOD, ZHON PATRICK",08/31/2028,,FL DBPR Construction License Extract (Current + Active)
"MATT & SONS PLUMBING, LLC",Plumbing,Family-Owned,Pattern match,Name/marketing indicates family ownership,Panama City Beach,Bay,32407,"332 Fernwood Street, Panama City Beach, FL, 32407",,,,,,CFC,Certified Plumbing Contractor,CFC1431623,1,"SISTRUNK, MATTHEW JR",08/31/2026,,FL DBPR Construction License Extract (Current + Active)
MUTH & SONS PLUMBING INC,Plumbing,Family-Owned,Pattern match,Name/marketing indicates family ownership,Panama City,Bay,32401,"708 Mlk Blvd, Panama City, FL, 32401",(850) 763-2395,muthandsonsplumbing.com,4.3,35,Plumber,CFC,Certified Plumbing Contractor,CFC1426961; CFC1431078,2,"MUTH, BRIAN EDWARD; MUTH, PATRICK EDWARD",08/31/2028,data/companies.json (Google Maps scrape),FL DBPR Construction License Extract (Current + Active)
PEADEN AIR CONDITIONING ~ PLUMBING ~ ELECTRICAL,Plumbing + HVAC,Family-Owned,Confirmed,Peaden Air Conditioning — family-run (Daws brothers); public about page,Panama City Beach,Bay,32413,"22120 Marsh Rabbit Run, Panama City Beach, FL, 32413",,,,,,"CAC, CFC",Certified Air Conditioning Contractor; Certified Plumbing Contractor,CAC1820334; CFC1430716,2,"DAWS, BRIANT REED",08/31/2028,,FL DBPR Construction License Extract (Current + Active)
BAKER BROTHERS HEATING & AIR,HVAC,Family-Owned,Pattern match,Name/marketing indicates family ownership,Starke,Bradford,32091,"1505 Crum St, Starke, FL, 32091",,,,,,CAC,Certified Air Conditioning Contractor,CAC1822280,1,"BAKER, TAYLOR JAY",08/31/2028,,FL DBPR Construction License Extract (Current + Active)
STRUNK AND SONS PLUMBING LLC,Plumbing,Family-Owned,Pattern match,Name/marketing indicates family ownership,Starke,Bradford,32091,"8118 Nw 183Rd Terr, Starke, FL, 32091",,,,,,CFC,Certified Plumbing Contractor,CFC1433729,1,"STRUNK, TIMOTHY WILLIAM JR",08/31/2028,,FL DBPR Construction License Extract (Current + Active)
COASTAL BROTHERS AIR & HEAT LLC,HVAC,Family-Owned,Pattern match,Name/marketing indicates family ownership,Cocoa,Brevard,32927,"3975 Juanita St, Cocoa, FL, 32927",,,,,,RA,Registered Air Conditioning Contractor,RA13067736,1,"BARFIELD , BRANDON",08/31/2027,,FL DBPR Construction License Extract (Current + Active)
DURHAM & SONS INC,HVAC,Family-Owned,Pattern match,Name/marketing indicates family ownership,Melbourne,Brevard,32935,"1947 N Harbor City Blvd, Melbourne, FL, 32935",,,,,,CAC,Certified Air Conditioning Contractor,CAC1814074; CAC1814163; CAC1814969; CAC1823187,4,"CARTER, CLAYTON; CARTER, STEPHEN EDWARD; DURHAM, RALPH W; DURHAM, RALPH W JR",08/31/2028,,FL DBPR Construction License Extract (Current + Active)
KELLEY & SONS PLUMBING INC,Plumbing,Family-Owned,Pattern match,Name/marketing indicates family ownership,Cocoa,Brevard,32926,"4620 Citrus Blvd, Cocoa, FL, 32926",,,,,,RF,Registered Plumbing Contractor,RF11067634,1,"KELLEY, CAMERON WAYNE",08/31/2027,,FL DBPR Construction License Extract (Current + Active)
