company_name,trade,ownership_type,ownership_confidence,parent_company_or_notes,city,county,zip,address,phone,website,google_rating,google_reviews,maps_services,license_types,license_type_labels,license_numbers,active_license_count,qualifying_agents_or_licensees,latest_expiration_seen,enrichment_source,data_source
DAVIS BROTHERS ALACHUA PLUMBING LLC,Plumbing,Family-Owned,Pattern match,Name/marketing indicates family ownership,High Springs,Alachua,32643,"17329 Nw 238Th Terrace, High Springs, FL, 32643",,,,,,CFC,Certified Plumbing Contractor,CFC1429587; CFC1429590,2,"DAVIS, CLAYTON THOMAS; DAVIS, RANDALL W",08/31/2028,,FL DBPR Construction License Extract (Current + Active)
"HOGLE AND SON HEATING AND AIR, LLC",HVAC,Family-Owned,Pattern match,Name/marketing indicates family ownership,Gainesville,Alachua,32606,"3562  Nw 97Th Blvd, Gainesville, FL, 32606",,,,,,CAC,Certified Air Conditioning Contractor,CAC1819132,1,"HOGLE, JACOB D",08/31/2028,,FL DBPR Construction License Extract (Current + Active)
TYRONE AND SONS PLUMBING LLC,Plumbing,Family-Owned,Pattern match,Name/marketing indicates family ownership,Archer,Alachua,32618,"13793 Sw 167Th Terr, Archer, FL, 32618",,,,,,CFC,Certified Plumbing Contractor,CFC1431222,1,"NOBLES, TYRONE LAVARIS",08/31/2028,,FL DBPR Construction License Extract (Current + Active)
FRANK WOOD & SON SERVICES LLC,Plumbing + HVAC,Family-Owned,Pattern match,Name/marketing indicates family ownership,Panama City Beach,Bay,32407,"1815 Turner Wood Lane, Panama City Beach, FL, 32407",,,,,,"CFC, CMC",Certified Mechanical Contractor; Certified Plumbing Contractor,CFC1427496; CMC1250535,2,"WOOD, ZHON PATRICK",08/31/2028,,FL DBPR Construction License Extract (Current + Active)
"MATT & SONS PLUMBING, LLC",Plumbing,Family-Owned,Pattern match,Name/marketing indicates family ownership,Panama City Beach,Bay,32407,"332 Fernwood Street, Panama City Beach, FL, 32407",,,,,,CFC,Certified Plumbing Contractor,CFC1431623,1,"SISTRUNK, MATTHEW JR",08/31/2026,,FL DBPR Construction License Extract (Current + Active)
MUTH & SONS PLUMBING INC,Plumbing,Family-Owned,Pattern match,Name/marketing indicates family ownership,Panama City,Bay,32401,"708 Mlk Blvd, Panama City, FL, 32401",(850) 763-2395,muthandsonsplumbing.com,4.3,35,Plumber,CFC,Certified Plumbing Contractor,CFC1426961; CFC1431078,2,"MUTH, BRIAN EDWARD; MUTH, PATRICK EDWARD",08/31/2028,data/companies.json (Google Maps scrape),FL DBPR Construction License Extract (Current + Active)
PEADEN AIR CONDITIONING ~ PLUMBING ~ ELECTRICAL,Plumbing + HVAC,Family-Owned,Confirmed,Peaden Air Conditioning — family-run (Daws brothers); public about page,Panama City Beach,Bay,32413,"22120 Marsh Rabbit Run, Panama City Beach, FL, 32413",,,,,,"CAC, CFC",Certified Air Conditioning Contractor; Certified Plumbing Contractor,CAC1820334; CFC1430716,2,"DAWS, BRIANT REED",08/31/2028,,FL DBPR Construction License Extract (Current + Active)
BAKER BROTHERS HEATING & AIR,HVAC,Family-Owned,Pattern match,Name/marketing indicates family ownership,Starke,Bradford,32091,"1505 Crum St, Starke, FL, 32091",,,,,,CAC,Certified Air Conditioning Contractor,CAC1822280,1,"BAKER, TAYLOR JAY",08/31/2028,,FL DBPR Construction License Extract (Current + Active)
STRUNK AND SONS PLUMBING LLC,Plumbing,Family-Owned,Pattern match,Name/marketing indicates family ownership,Starke,Bradford,32091,"8118 Nw 183Rd Terr, Starke, FL, 32091",,,,,,CFC,Certified Plumbing Contractor,CFC1433729,1,"STRUNK, TIMOTHY WILLIAM JR",08/31/2028,,FL DBPR Construction License Extract (Current + Active)
COASTAL BROTHERS AIR & HEAT LLC,HVAC,Family-Owned,Pattern match,Name/marketing indicates family ownership,Cocoa,Brevard,32927,"3975 Juanita St, Cocoa, FL, 32927",,,,,,RA,Registered Air Conditioning Contractor,RA13067736,1,"BARFIELD , BRANDON",08/31/2027,,FL DBPR Construction License Extract (Current + Active)
DURHAM & SONS INC,HVAC,Family-Owned,Pattern match,Name/marketing indicates family ownership,Melbourne,Brevard,32935,"1947 N Harbor City Blvd, Melbourne, FL, 32935",,,,,,CAC,Certified Air Conditioning Contractor,CAC1814074; CAC1814163; CAC1814969; CAC1823187,4,"CARTER, CLAYTON; CARTER, STEPHEN EDWARD; DURHAM, RALPH W; DURHAM, RALPH W JR",08/31/2028,,FL DBPR Construction License Extract (Current + Active)
KELLEY & SONS PLUMBING INC,Plumbing,Family-Owned,Pattern match,Name/marketing indicates family ownership,Cocoa,Brevard,32926,"4620 Citrus Blvd, Cocoa, FL, 32926",,,,,,RF,Registered Plumbing Contractor,RF11067634,1,"KELLEY, CAMERON WAYNE",08/31/2027,,FL DBPR Construction License Extract (Current + Active)
BIG C AND SONS INC,HVAC,Family-Owned,Pattern match,Name/marketing indicates family ownership,Margate,Broward,33068-3110,"590 Sw 49Th Ter, Margate, FL, 33068-3110",,,,,,CAC,Certified Air Conditioning Contractor,CAC1817687,1,"CHISHOLM, BYRON DAVE",08/31/2028,,FL DBPR Construction License Extract (Current + Active)
BROTHERS XPRESS PLUMBING & DRAIN SOLUTIONS CORP,Plumbing,Family-Owned,Pattern match,Name/marketing indicates family ownership,Hollywood,Broward,33024-2732,"2720 North 72Nd Way, Hollywood, FL, 33024-2732",,,,,,CFC,Certified Plumbing Contractor,CFC1434262,1,"OSBRACH, EBEN DYLAN",08/31/2028,,FL DBPR Construction License Extract (Current + Active)
DATTILE & SONS PLUMBING,Plumbing,Family-Owned,Pattern match,Name/marketing indicates family ownership,Coral Springs,Broward,33067,"8568 Nw 46Th Drive, Coral Springs, FL, 33067",,,,,,CFC,Certified Plumbing Contractor,CFC1426068,1,"DATTILE, KEITH",08/31/2028,,FL DBPR Construction License Extract (Current + Active)
FATHER & SON PLUMBING SERVICES INC,Plumbing,Family-Owned,Pattern match,Name/marketing indicates family ownership,Plantation,Broward,33317,"5301 Sw 8Th Street, Plantation, FL, 33317",,,,,,CFC,Certified Plumbing Contractor,CFC1427011,1,"MISTLER, PETER JAMES",08/31/2026,,FL DBPR Construction License Extract (Current + Active)
FLEMING BROTHERS SERVICES INC,HVAC,Family-Owned,Pattern match,Name/marketing indicates family ownership,Cooper City,Broward,33328,"5202 Sw 90Th Ter, Cooper City, FL, 33328",,,,,,CAC,Certified Air Conditioning Contractor,CAC057502,1,"FLEMING, DOUGLAS ERIC",08/31/2028,,FL DBPR Construction License Extract (Current + Active)
HENRY & SONS PLUMBING & HEATING INC,Plumbing,Family-Owned,Pattern match,Name/marketing indicates family ownership,Davie,Broward,33314,"4755  Sw 73Rd Ave., Davie, FL, 33314",,,,,,CFC,Certified Plumbing Contractor,CFC057722,1,"CABALLERO, ENRIQUE",08/31/2028,,FL DBPR Construction License Extract (Current + Active)
SHAWN & SONS PLUMBING INC,Plumbing,Family-Owned,Pattern match,Name/marketing indicates family ownership,Lighthouse Point,Broward,33064,"5031 Ne 26 Terrace, Lighthouse Point, FL, 33064",,,,,,CFC,Certified Plumbing Contractor,CFC1426978,1,"MARINI, ROBERTO",08/31/2028,,FL DBPR Construction License Extract (Current + Active)
K C & SON REPAIRS INC,Plumbing,Family-Owned,Pattern match,Name/marketing indicates family ownership,Blountstown,Calhoun,32424,"P.O. Box 298, Blountstown, FL, 32424",,,,,,CFC,Certified Plumbing Contractor,CFC1426318,1,"CLARK, KEITH A.",08/31/2028,,FL DBPR Construction License Extract (Current + Active)
KC & SON REPAIRS INC,Plumbing,Family-Owned,Pattern match,Name/marketing indicates family ownership,Blountstown,Calhoun,32424,"Po Box 298, Blountstown, FL, 32424",,,,,,RF,Registered Plumbing Contractor,RF11067286,1,"CLARK, DAVID SCOTT",08/31/2027,,FL DBPR Construction License Extract (Current + Active)
BOSCH BROTHERS AIR CONDITIONING CORP,HVAC,Family-Owned,Pattern match,Name/marketing indicates family ownership,Punta Gorda,Charlotte,33951,"P O Box 510945, Punta Gorda, FL, 33951",,,,,,CAC,Certified Air Conditioning Contractor,CAC1815961,1,"BOSCH, HERBERT FRANCIS",08/31/2028,,FL DBPR Construction License Extract (Current + Active)
